danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target,genre
0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,audio_features,2ajhenDRiiAnCHHjsIOHhJ,spotify:track:2ajhenDRiiAnCHHjsIOHhJ,https://api.spotify.com/v1/tracks/2ajhenDRiiAnCHHjsIOHhJ,https://api.spotify.com/v1/audio-analysis/2ajhenDRiiAnCHHjsIOHhJ,224253,4,1,Hip-Hop
0.862,0.685,0,-7.699,0,0.242,0.0342,0.0,0.204,0.672,100.024,audio_features,05WepN8vrMLJG5r8XRdLeL,spotify:track:05WepN8vrMLJG5r8XRdLeL,https://api.spotify.com/v1/tracks/05WepN8vrMLJG5r8XRdLeL,https://api.spotify.com/v1/audio-analysis/05WepN8vrMLJG5r8XRdLeL,172800,4,1,Hip-Hop
0.316,0.0057,0,-35.986,1,0.0399,0.995,0.892,0.0658,0.0816,96.51,audio_features,3wvv5GbFdqGHOSgS4TMcCf,spotify:track:3wvv5GbFdqGHOSgS4TMcCf,https://api.spotify.com/v1/tracks/3wvv5GbFdqGHOSgS4TMcCf,https://api.spotify.com/v1/audio-analysis/3wvv5GbFdqGHOSgS4TMcCf,145000,1,1,Classical
0.315,0.0553,11,-29.237,1,0.0503,0.994,0.892,0.156,0.268,92.608,audio_features,0hTQrLYFYI6Eth78YTDNpO,spotify:track:0hTQrLYFYI6Eth78YTDNpO,https://api.spotify.com/v1/tracks/0hTQrLYFYI6Eth78YTDNpO,https://api.spotify.com/v1/audio-analysis/0hTQrLYFYI6Eth78YTDNpO,196560,3,1,Classical
0.756,0.486,9,-6.491,0,0.2,0.138,0.0,0.116,0.586,98.05,audio_features,27aGlicHJKf5QY20looYlR,spotify:track:27aGlicHJKf5QY20looYlR,https://api.spotify.com/v1/tracks/27aGlicHJKf5QY20looYlR,https://api.spotify.com/v1/audio-analysis/27aGlicHJKf5QY20looYlR,236296,4,1,Hip-Hop
0.36,0.00764,1,-24.824,0,0.045,0.937,0.437,0.171,0.219,113.982,audio_features,3snc9m6T0b0TuxtSEsmP4U,spotify:track:3snc9m6T0b0TuxtSEsmP4U,https://api.spotify.com/v1/tracks/3snc9m6T0b0TuxtSEsmP4U,https://api.spotify.com/v1/audio-analysis/3snc9m6T0b0TuxtSEsmP4U,85933,3,1,Classical
0.635,0.751,1,-5.055,0,0.357,0.116,0.0,0.0951,0.591,126.806,audio_features,2uiEqPjMmIJXOKplzsEASP,spotify:track:2uiEqPjMmIJXOKplzsEASP,https://api.spotify.com/v1/tracks/2uiEqPjMmIJXOKplzsEASP,https://api.spotify.com/v1/audio-analysis/2uiEqPjMmIJXOKplzsEASP,289739,5,1,Hip-Hop
0.759,0.498,10,-10.615,1,0.0776,0.223,5.84e-05,0.406,0.244,126.972,audio_features,7iMDaY1LnASwCk2uUpMtii,spotify:track:7iMDaY1LnASwCk2uUpMtii,https://api.spotify.com/v1/tracks/7iMDaY1LnASwCk2uUpMtii,https://api.spotify.com/v1/audio-analysis/7iMDaY1LnASwCk2uUpMtii,195160,4,1,Hip-Hop
0.72,0.484,1,-5.021,1,0.415,0.0132,0.0299,0.113,0.166,179.957,audio_features,6mS9JgLlBCbmsMQnKrm2e3,spotify:track:6mS9JgLlBCbmsMQnKrm2e3,https://api.spotify.com/v1/tracks/6mS9JgLlBCbmsMQnKrm2e3,https://api.spotify.com/v1/audio-analysis/6mS9JgLlBCbmsMQnKrm2e3,194817,4,1,Hip-Hop
0.834,0.538,4,-5.54,0,0.246,0.191,0.0,0.113,0.536,97.025,audio_features,69eXHDgEEQ6itzt03E7fKz,spotify:track:69eXHDgEEQ6itzt03E7fKz,https://api.spotify.com/v1/tracks/69eXHDgEEQ6itzt03E7fKz,https://api.spotify.com/v1/audio-analysis/69eXHDgEEQ6itzt03E7fKz,178907,4,1,Hip-Hop
0.346,0.0404,1,-24.051,1,0.0383,0.994,0.93,0.0953,0.207,160.478,audio_features,6ZZq00uoVcxf8er4zgS7ce,spotify:track:6ZZq00uoVcxf8er4zgS7ce,https://api.spotify.com/v1/tracks/6ZZq00uoVcxf8er4zgS7ce,https://api.spotify.com/v1/audio-analysis/6ZZq00uoVcxf8er4zgS7ce,205500,3,1,Classical
